anime;anime_img;episodes;rate
Shin Koihime Musou;https://img1.ak.crunchyroll.com/i/spire2/66d8bbabb6e9e3e5c0368ee303e243961279146438_full.jpg;0;476
ERASED;https://img1.ak.crunchyroll.com/i/spire4/3727644b109279e2cb405ac89b0f293f1452549294_full.jpg;13;486
Saint Seiya The Lost Canvas;https://img1.ak.crunchyroll.com/i/spire3/37207b1afe3f78586159e0dedeb7cec21294189191_full.jpg;0;474
Oreimo;https://img1.ak.crunchyroll.com/i/spire3/71fdb236017dcba7006a08fa67bedff91365924507_full.jpg;13;442
Puella Magi Madoka Magica;https://img1.ak.crunchyroll.com/i/spire2/7facd20f5216202349ad2fc3119e2e5b1329936788_full.jpg;0;482
Bodacious Space Pirates;https://img1.ak.crunchyroll.com/i/spire3/d8a4a69bb844d45f649b427bdd8cee981324617644_full.jpg;26;466
YuruYuri;https://img1.ak.crunchyroll.com/i/spire4/3780ca878ee756a73dfeba8b63b0aa761444072040_full.jpg;36;464
No Game No Life;https://img1.ak.crunchyroll.com/i/spire1/5a4525c6fc5508fa27f0ed229ad2cbde1396985147_full.jpg;12;47
Pretty Cure;https://img1.ak.crunchyroll.com/i/spire3/2c2ddc52a3a60f868db0f4d1e98fadaf1449540985_full.jpg;0;456
Akame ga Kill!;https://img1.ak.crunchyroll.com/i/spire3/4fe71ff4ce4cf1b0d13b814d42ba51bc1404629753_full.jpg;24;427
RWBY;https://img1.ak.crunchyroll.com/i/spire4/3bbbf0e26ea56bf53b1f7158f2011d0a1561489064_full.jpg;102;403
Gankutsuou;https://img1.ak.crunchyroll.com/i/spire4/8d1de125068d1f7f18dacab8c72b54741424476276_full.jpg;0;474
Mysterious Girlfriend X;https://img1.ak.crunchyroll.com/i/spire3/69d6d92c68c58654465f62c1c903d9911505343039_full.jpg;13;469
That Time I Got Reincarnated as a Slime;https://img1.ak.crunchyroll.com/i/spire4/15a59c8efa8ea6cccb53fff530c2f1921548272848_full.jpg;27;465
Sweet Blue Flowers;https://img1.ak.crunchyroll.com/i/spire1/36d06bbdde095f3bca2653eded52200d1450743786_full.jpg;0;468
We, Without Wings - under the innocent sky;https://img1.ak.crunchyroll.com/i/spire4/2234934e7b220a58df2a02d72b69c8021301414782_full.jpg;0;451
Kiseijuu;https://img1.ak.crunchyroll.com/i/spire2/7d31dfaf49397a8cc1e490ccedea04e21422401583_full.jpg;24;475
Kamisama Dolls;https://img1.ak.crunchyroll.com/i/spire2/5b80f204841b686dca994f674c2fb3911310009898_full.jpg;0;458
NATSU NO ARASHI !;https://img1.ak.crunchyroll.com/i/spire2/4edbaac80ed0d53f0986c484e420fa7d1279147067_full.jpg;0;446
